address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,dish_liked,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"1170, 5th Main Road, Sector 7, HSR Layout, HSR, Banglore",Asha Tiffins,Yes,No,4.3,278,HSR,Quick Bites,South Indian,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",150,"['2 Idli', '2 Vada', '2 Idli Vada', 'Masala Dosa', 'Pongal', 'Khara Bath', 'Kesari Bath', 'Chow Chow Bath', '2 Idli', '2 Vada', '2 Idli Vada', 'Plain Dosa', 'Masala Dosa', 'Pongal', 'Khara Bath', 'Kesari Bath', 'Chow Chow Bath', '2 Gulab Jamun']",Delivery,BTM
"1170, 5th Main Road, Sector 7, HSR Layout, HSR, Banglore",Asha Tiffins,Yes,No,4.3,278,HSR,Quick Bites,South Indian,"Vada, Masala Dosa, Kharabath, Filter Coffee, Kesari Bath, Idli Sambar",150,,Delivery,HSR
"1, Survey Number 44, Ambalipura, Balaji Layout, Sarjapur Road, Bangalore",The Flying Cup,Yes,No,4.2,233,Sarjapur Road,Quick Bites,Beverages,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Khichda, Onion Pakoda",150,"['Filter Kaapi [150 ml]', 'Ginger Chai [150 ml]', 'Lemon Tea with Ginger [150 ml]', 'Hot Badam Milk [200 ml]', 'Hot Chocolate [200 ml]', 'Organic Turmeric Latte [200 ml]', 'Saffron Turmeric Latte [200 ml]', 'Classic Cold Coffee [250 ml]', 'Badam Shake[250 ml]', 'Oreo Shake[250 ml]', 'Coconut Mint Cooler [250 ml]', 'Sabudana Khichdi', 'Paddu', 'Three Variety Uttapam', 'Club Kachori', 'Mutter Puri', 'Chole Khulcha', 'Chole Bhatura', 'Bun Maska Bhujia', 'Aloo Chutney Grilled Sandwich', 'Veggie Mayo Grilled Sandwich', 'Veggie Paneer Grilled Sandwich', 'Veggie Paneer Cheese Grilled Sandwich', 'Veg Italiano Grilled Sandwich', 'Chole Masala Grilled Sandwich', 'Nutella Peanut Butter Grilled Sandwich', 'Nutella Banana Grilled Sandwich', 'Onion Pakoda', 'Chocolate Brownie', 'Filter Kaapi [150 ml]', 'Filter Kaapi with Jaggery [150 ml]', 'Chai Dum [150 ml]', 'Ginger Chai [150 ml]', 'Elaichi Chai [150 ml]', 'Chai Masala with Jaggery [150 ml]', 'Lemon Tea [150 ml]', 'Lemon Tea with Ginger [150 ml]', 'Lemon Tea with Ginger and Mint [150 ml]', 'Green Tea [150 ml]', 'Lemon Green Tea [150 ml]', 'Cinnamon Green Tea [150 ml]', 'Tulsi Green Tea [150 ml]', 'Hot Badam Milk [200 ml]', 'Hot Chocolate [200 ml]', 'Organic Turmeric Latte [200 ml]', 'Saffron Turmeric Latte [200 ml]', 'Classic Cold Coffee [250 ml]', 'Chocolate Cold Coffee [250 ml]', 'Hazelnut Cold Coffee [250 ml]', 'Oreo Cold Coffee [250 ml]', 'Peanut Butter Cold Coffee [250 ml]', 'Kit Kat Cold Coffee [250 ml]', 'Nutella Peanut Butter Cold Coffee [250 ml]', 'Caramel Cold Coffee [250 ml]', 'Nutella Cold Coffee [250 ml]', 'Brownie Cold Coffee [250 ml]', 'Classic Iced Tea [250 ml]', 'Peach Iced Tea [250 ml]', 'Green Apple Iced Tea [250 ml]', 'Gulkand Rose Shake[250 ml]', 'Badam Shake[250 ml]', 'Chocolate Shake[250 ml]', 'Vanilla Shake[250 ml]', 'Almond Rose Shake [250 ml]', 'Oreo Shake[250 ml]', 'Pista Shake[250 ml]', 'Kesar Badam Shake[250 ml]', 'Kesar Pista Shake[250 ml]', 'Choco Hazelnut Shake[250 ml]', 'Choco Banana Shake[250 ml]', 'Kit Kat Shake[250 ml]', 'Choco Peanut Butter Shake [250 ml]', 'Nutella Peanut Butter Shake[250 ml]', 'Caramel Shake[250 ml]', 'Nutella Shake [250 ml]', 'Brownie Shake [250 ml]', 'Lemon with Handmade Jaggery [250 ml]', 'Lemon Mint with Handmade Jaggery [250 ml]', 'Lemon Ginger with Handmade Jaggery [250 ml]', 'Coconut Mint Cooler [250 ml]', 'Banana Millet Museli Honey [250 ml]', 'Sugarfree Dates and Nuts [250 ml]', 'Dates and Nuts with Jaggery [250 ml]', 'Banana Dates and Nuts [250 ml]', 'Sabudana Khichdi', 'Paddu', 'Three Variety Uttapam', 'Club Kachori', 'Mutter Puri', 'Chole Khulcha', 'Chole Bhatura', 'Dal Chilla', 'Bun Jam', 'Bun Maska', 'Bun Maska Jam', 'Bun Maska Bhujia', 'Aloo Chutney Grilled Sandwich', 'Veggie Mayo Grilled Sandwich', 'Veggie Paneer Grilled Sandwich', 'Veggie Paneer Cheese Grilled Sandwich', 'Veg Italiano Grilled Sandwich', 'Chole Masala Grilled Sandwich', 'Nutella Peanut Butter Grilled Sandwich', 'Nutella Banana Grilled Sandwich', 'Onion Pakoda', 'Banana Cake', 'Chocolate Brownie']",Dine-out,Bellandur
"20, Ground Floor, 15/16, House Of Lords, St. Marks Road, Bangalore",Natural Ice Cream,No,No,4.2,221,St. Marks Road,Dessert Parlor,Ice Cream,"Mango Ice Cream, Tender Coconut Ice Cream, Chips, Chocochip Ice Cream, Waffle Cone",150,,Delivery,Brigade Road
"1, Survey Number 44, Ambalipura, Balaji Layout, Sarjapur Road, Bangalore",The Flying Cup,Yes,No,4.2,236,Sarjapur Road,Quick Bites,Beverages,"Tea, Coffee, Sabudana Khichdi, Samosa, Sandwiches, Onion Pakoda, Khichda",150,,Delivery,HSR
"196, 8th E Main, 27th Cross, 3rd Block, Suraj Plaza, Jayanagar, Bangalore",Sreeraj Lassi Bar,Yes,No,4.1,210,Jayanagar,"Dessert Parlor, Beverage Shop",Beverages,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",150,,Delivery,Banashankari
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,Basavanagudi,Quick Bites,South Indian,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150,,Dine-out,Banashankari
"79, Vanivilas Road, Next to KFC, Basavanagudi, Bangalore",HOT COFFEE,Yes,No,4.1,70,Basavanagudi,Quick Bites,South Indian,,150,,Delivery,Basavanagudi
"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",99 Pancakes,Yes,No,4.1,41,Church Street,Dessert Parlor,Desserts,Nutella Pancakes,150,"['Holla Nutella Pancake', 'Chocolate Lovely Pancake', 'Nutella Forever Pancake', 'Indulge in Chocolate Pancake', 'Holla Nutella Pancake', 'Choco Bonaffi Pancake', 'Red Riding Hood Pancake', 'Chocolate Lovely Pancake', 'Jelly Berry Pancake', 'Nutella Forever Pancake', 'Indulge in Chocolate Pancake', 'Very Very Strawberry Pancake', 'Mexican Paradise Pancake', 'Tikka Hunger Pancake', 'Mission Mushroom Pancake', 'Make Your Own French Pancake', 'Make Your Own Holland Pancake', 'Crazy Nutella Shake', 'Magic Strawberry Shake', 'Chocoholic Shake']",Dine-out,Brigade Road
"38, 7th Main, 5th Cross, Sampangiram Nagar, SR Nagar",Siddappa Hotel,No,No,4.1,274,Richmond Road,Quick Bites,South Indian,"Masala Dosa, Idli, Kali Dosa, Ghee Khali Dosa, Tomato Rice, Set Dosa, Ghee Rice",150,,Dine-out,Brigade Road
"3, Sai Baba Temple Road, Green Garden Layout, Silver Springs Layout, Munnekollal, Marathahalli, Bangalore",Kaafi Desi,Yes,No,4.1,515,Marathahalli,Quick Bites,North Indian,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji",150,"['Pakoda Platter', 'Samosa with Jalebi Combo', 'Aloo Poori [4 Pieces]', 'Choley Bhature [2 Pieces]', 'Vada Pav', 'Pav Bhaji [2 Pieces]', 'Chana Samosa Chaat', 'Aloo Paratha', 'Aloo Pyaz Paratha', 'Gobhi Paratha', 'Sattu Paratha', 'Mixed Veg Paratha', 'Ultimate Gulaab Jamun', 'Rasgulla', 'Rajbhog', 'Chamcham', 'Rasmalai', 'Boondiya [100 grams]', 'Jalebi [50 grams]', 'Desi Ghee Ladoo', 'Aloo Poori Combo', 'Choley Poori Combo', 'Pakoda Platter', 'Samosa with Jalebi Combo', 'Single Samosa', 'Married Samosa [2 Pieces]', 'Bread Pakoda', 'Batata Vada', 'Stuffed Mirchi', 'Paneer Pakoda [3 Pieces]', 'Aloo Poori [4 Pieces]', 'Choley Poori [4 Pieces]', 'Choley Bhature [2 Pieces]', 'Vada Pav', 'Pav Bhaji [2 Pieces]', 'Pani Puri [7 Pieces]', 'Sukka Puri [7 Pieces]', 'Dahi Puri [7 Pieces]', 'Masala Puri', 'Dahi Bhalle [2 Pieces]', 'Bhalla Papdi Chaat', 'Papdi Chaat', 'Chana Samosa Chaat']",Delivery,Brookefield
"3, Sai Baba Temple Road, Green Garden Layout, Silver Springs Layout, Munnekollal, Marathahalli, Bangalore",Kaafi Desi,Yes,No,4.1,515,Marathahalli,Quick Bites,North Indian,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji",150,,Dine-out,Brookefield
"537, 1st Main, Near Bethani School, 8th Block, Koramangala 8th Block, Bangalore",Sri Ganesh Juice Junction,Yes,No,4.1,211,Koramangala 8th Block,Beverage Shop,Beverages,"Sandwiches, Sandwich, Omelette, Cheese Maggi",150,,Delivery,BTM
"62, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",Samosa Party,No,No,4.1,42,Koramangala 5th Block,Quick Bites,Street Food,"Chai, Aloo Samosa, Tea",150,,Delivery,BTM
"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",99 Pancakes,Yes,No,4.1,42,Church Street,Dessert Parlor,Desserts,Nutella Pancakes,150,"['Holla Nutella Pancake', 'Red Riding Hood Pancake', 'Chocolate Lovely Pancake', 'Jelly Berry Pancake', 'Nutella Forever Pancake', 'Make Your Own Holland Pancake', 'Holla Nutella Pancake', 'Choco Bonaffi Pancake', 'Red Riding Hood Pancake', 'Chocolate Lovely Pancake', 'Jelly Berry Pancake', 'Nutella Forever Pancake', 'Indulge in Chocolate Pancake', 'Very Very Strawberry Pancake', 'Mexican Paradise Pancake', 'Tikka Hunger Pancake', 'Mission Mushroom Pancake', 'Make Your Own French Pancake', 'Make Your Own Holland Pancake', 'Crazy Nutella Shake', 'Magic Strawberry Shake', 'Chocoholic Shake']",Delivery,Frazer Town
"322, Shalini Complex, CMH Road, Indiranagar, Bangalore",Kartik's Mithai Shoppe,Yes,No,4.1,110,Indiranagar,"Quick Bites, Sweet Shop",Mithai,"Chaat, Panipuri, Chole Bhature, Rasmalai, Chhole Bhature, Sev Puri, Samosa",150,"['Motichoor Laddu', 'Kaju Katli', 'Kaala Jamun', 'Chandrakala', 'Milk Cake', 'Paneer', 'Motichoor Laddu', 'Kaju Katli', 'Cham Cham', 'Angoori Jamoon', 'Rusbhurry', 'Champakali', 'Malai Sandwidge', 'Kaala Jamun', 'Sohan Papdi', 'Chandrakala', 'Mawa Gujiya', 'Bombay Halwa', 'Besan Laddu', 'Aata Laddu', 'Special Mysore Pak', 'Milk Cake', 'Milk Burfee', 'Coconut Burfee', 'Chocolate Burfee', 'Doodh Peda', 'Mathura Peda', 'Kesari Peda', 'Kaju Pista Roll', 'Kaju Rolls', 'Dry Fruit Laddu', 'Dry Fruits Anjeer', 'Dry Fruit Burfee', 'Kaju Kalash', 'Anjeer Roll', 'Anjeer Bati', 'Kaju Letter Box', 'Kaju Pan', 'Kaju Gulkand', 'Kaju Apple', 'Kaju Choco Ball', 'Kaju Butterscotch Ball', 'Kaju Byte Laddu', 'Kaju Cassata', 'Kaju Pineapple', 'Kaju Sangam', 'Kaju Gulaab Patti', 'Kaju Basket', 'Kaju Chocolate Burfee', 'Baked Badam Jalebi', 'Baked Badaam Flower']",Delivery,Frazer Town
"88/1B1, Sims Plaza, Coles Road, Frazer Town, Bangalore",Natural Ice Cream,No,No,4.1,119,Frazer Town,Dessert Parlor,Ice Cream,,150,,Delivery,Frazer Town
"22, Opposite State Bank of India, St. Marks Road, Bangalore",Juice Junction,No,No,4,101,St. Marks Road,Quick Bites,Juices,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",150,,Delivery,Brigade Road
"22, Opposite State Bank of India, St. Marks Road, Bangalore",Juice Junction,Yes,No,4,101,St. Marks Road,Quick Bites,Juices,"Sandwiches, Fruit Bowl, Panipuri, Corn Sandwich, Palak Paneer, Arabian Grape Juice, Cheesy Grilled Sandwich",150,,Dine-out,Brigade Road
"150, 5th Cross, 5th Block, KHB Colony, Koramangala 5th Block, Bangalore",Juice Junction,Yes,No,4,138,Koramangala 5th Block,"Beverage Shop, Quick Bites",Juices,"Fruit Bowl, Grape Juice, Nannari Sharbat, Cheese Sandwich, Tea, Cheese Sandwiches, Orange Juice",150,,Delivery,BTM
"122, KHB Colony, Koramangala 5th Block, Bangalore",Coffee Tea & More,Yes,No,4,63,Koramangala 5th Block,Quick Bites,Beverages,"Ginger Tea, Filter Coffee, Sandwich, Poha, Waffles, Vada",150,"['Filter Coffee', 'Classic Tea', 'Ginger Tea', 'Filter Coffee Mocha', 'Filter Coffee with 2 Vada', 'Ginger Tea with 2 Vada', 'Filter Coffee with 2 Vada', 'Black Coffee with 2 Vada', 'Classic Tea with 2 Vada', 'Black Tea with 2 Vada', 'Milk with 2 Vada', 'Sukku Malli with 2 Vada', 'Lemon Tea with 2 Vada', 'Green Tea with 2 Vada', 'Ginger Tea with 2 Vada', 'Ginger Lemon Tea with 2 Vada', 'Chocolate Milk with 2 Vada', 'Filter Coffee Mocha with 2 Vada', 'Filter Coffee with 2 Podi Aama', 'Black Coffee with 2 Podi Aama', 'Classic Tea with 2 Podi Aama', 'Black Tea with 2 Podi Aama', 'Milk with 2 Podi Aama', 'Sukku Malli with 2 Podi Aama', 'Lemon Tea with 2 Podi Aama', 'Green Tea with 2 Podi Aama', 'Ginger Tea with 2 Podi Aama', 'Ginger Lemon Tea with 2 Podi Aama', 'Chocolate Milk with 2 Podi Aama', 'Filter Coffee Mocha with 2 Podi Aama', '2 Kambu Vada', 'Mass Podi Aama', 'Podi Aama', '2 Ragi Vada', '2 Madur Vada', 'Tomato Vermicelli', 'Tamarind Poha', 'Masala Upma', 'Vegmaa Sandwich', 'Coffee Tea and More Special Sandwich', 'Peanut Softy', 'Filter Coffee', 'Black Coffee', 'Classic Tea', 'Black Tea', 'Milk', 'Sukku Malli', 'Lemon Tea', 'Green Tea', 'Ginger Tea', 'Ginger Lemon Tea', 'Chocolate Milk', 'Filter Coffee Mocha', 'Thatha Butter Milk']",Delivery,BTM
"14/1, 23rd Main Road, Nagaraja Garden, JP Nagar, Bangalore",I Cool,Yes,No,4,76,JP Nagar,Quick Bites,Juices,Shawarma,150,,Delivery,BTM
"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore",Cookie Man,Yes,No,4,100,Koramangala 7th Block,Dessert Parlor,Bakery,"Chocolate Chip Cookie, Brownie Chocolate",150,,Delivery,BTM
"15, Near Christ College, 7th Cross, S.G Palya Main Road, BTM, Bangalore",Sreeraj Lassi Bar,Yes,No,4,87,BTM,Beverage Shop,Beverages,"Faluda, Fruit Salad, Fruit Lassi",150,"['Fresh Mango Lassi', 'Sweet Lassi', 'Matka Kulfi', 'Sweet Matka Lassi', 'Mango Matka Lassi', 'Dry Fruit Lassi', 'Sweet Lassi', 'Salt Lassi', 'Khara Lassi', 'Pudina Lassi', 'Fresh Mango Lassi', 'Banana Lassi', 'Grape Lassi', 'Strawberry Lassi', 'Fresh Strawberry Lassi', 'Fruit Lassi', 'Dry Fruit Lassi', 'Fruit Salad with Jelly', 'Fruit Salad Jelly Ice Cream', 'Fruit Salad with Triple Ice Cream', 'Fruit Salad with Double Ice Cream', 'Fruit Salad with Ice Cream', 'Fruit Salad with Cream', 'Falooda Ice Cream', 'Fruit Falooda', 'Badami Falooda', 'Mango Mirch Sharbat', 'Arabian Pulpy', 'Grape Juice', 'Mango Juice', 'Watermelon Juice', 'Muskmelon Juice', 'Buttermilk Juice', 'Mango Mist', 'Strawberry Mist', 'Pineapple Mist', 'Blue Bay', 'Fresh Lime', 'Grape with Anar', 'Carrot and Beetroot Shake', 'Carrot Shake', 'Beetroot Shake', 'Apple with Carrot Shake', 'Anar with Carrot Shake', 'Dry Fruit Milkshake', 'Dates Milkshake', 'Mewa Raseela Milkshake', 'Butterscotch Milkshake', 'Blackcurrent Milkshake', 'Pista Milkshake', 'Apple Milkshake', 'Mango Milkshake', 'Chikku Milkshake', 'Vanilla Milkshake', 'Muskmelon Milkshake', 'Fresh Strawberry Milkshake', 'Banana Milkshake', 'Shahi Milkshake', 'Anar Milkshake', 'Papaya Milkshake', 'Rose Milkshake', 'Cold Badam Milkshake', 'Theen Shabab Mocktail', 'Sitara Mocktail', 'Galaxy Mocktail', 'Dublin Mocktail', 'Twin Tower Cocktail Shake', 'Doublin Decker', 'Marina Shake', 'Splendor Cocktail Shake', 'Melon Magic Cocktail Shake', 'Galaxy Cocktail Shake', 'Shrikhand', 'Chocolate Fantasy', 'Choco Crush', 'Hot Chocolate Fudge', 'Chocolate Milkshake', 'Chocolate Milkshake with Ice Cream', 'Cold Coffee', 'Chocolate Lassi', 'Gulab Jamun with ice Cream', 'Dates Milkshakes with Ice Cream', 'Oreo Milkshake', 'Oreo Milkshake with ice Cream', 'Coolberry Shake', 'Snow White Shake', 'Pink Berry Shake']",Delivery,BTM
"69/A, BHCS Layout, 2nd Stage, 2nd Cross, BTM, Bangalore",Shri Ram Sweet Centre,No,No,4,160,BTM,"Quick Bites, Sweet Shop",Street Food,"Samosa, Dhokla, Ladoo, Sweet Kachori, Onion Kachori, Ghee Jalebi",150,,Dine-out,BTM
"22/1, Near Food World, Opposite Gymkhana, Wheeler Road, Frazer Town, Bangalore",Komala Refreshments,No,No,4,102,Frazer Town,Quick Bites,South Indian,"Masala Dosa, Filter Coffee",150,,Dine-out,Frazer Town
"13, 4th Cross Road, NR Colony, Basavanagudi, Bengaluru",Eat Repeat,Yes,No,3.9,101,Basavanagudi,Quick Bites,South Indian,"Sweet Pongal, Curd Rice",150,"['Puliyogare', 'Curd Rice', 'Sakkara Pongal', 'Ambodey', 'Kadamba', 'Chapathi with Gojju', 'Puliyogare', 'Curd Rice', 'Rice with Majjige Huli', 'Ambodey', 'Sakkara Pongal']",Dine-out,Banashankari
"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Old Mumbai Ice Cream,Yes,No,3.9,38,Banashankari,Dessert Parlor,Ice Cream,Friendly Staff,150,,Delivery,Basavanagudi
"41, Palani Mudaliar Street, Halasuru, Ulsoor, Bangalore",Amritsari Kulcha Bite,Yes,No,3.9,101,Ulsoor,Quick Bites,North Indian,"Lassi, Amritsari Kulcha, Chole",150,,Dine-out,Brigade Road
"89, Ibrahim Sahib Street, Commercial Street, Bangalore",Sri Saravana Bhavan,No,No,3.9,75,Commercial Street,Quick Bites,South Indian,"Filter Coffee, Idli",150,,Dine-out,Brigade Road
"1131/1, 17th Cross, 7th Sector HSR, Bangalore",Davanagere Benne Dose,Yes,No,3.9,106,HSR,Quick Bites,South Indian,Benne Dosa,150,,Delivery,BTM
"127/4, 5th Block, KHB MIG Colony, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore",Juice Junction,Yes,No,3.9,69,Koramangala 5th Block,"Beverage Shop, Quick Bites",Juices,"Sandwiches, Sandwich",150,,Delivery,BTM
"275, 17th F Main, Koramangala 5th Block, Bangalore",Om Sweets & Snacks,Yes,No,3.9,34,Koramangala 5th Block,Sweet Shop,Mithai,,150,,Delivery,BTM
"1, Mosque Building. Near BSNL Office, Palace Road, Near, Race Course Road, Bangalore",Sreeraj Lassi Bar,Yes,No,3.9,49,Race Course Road,"Dessert Parlor, Beverage Shop",Beverages,"Faluda, Sweet Lassi, Mango Lassi, Chocolate Fudge, Fruit Salad",150,"['Butterscotch Milkshake', 'Fruit Salad with Ice Cream', 'Fruit Falooda', 'Arabian Pulpy', 'Watermelon Juice', 'Sweet Lassi', 'Matka Kulfi', 'Chocolate Milkshake', 'Butterscotch Milkshake', 'Sweet Matka Lassi', 'Mango Matka Lassi', 'Dry Fruit Lassi', 'Sweet Lassi', 'Salt Lassi', 'Khara Lassi', 'Pudina Lassi', 'Fresh Mango Lassi', 'Pineapple Lassi', 'Banana Lassi', 'Grape Lassi', 'Strawberry Lassi', 'Chocolate Lassi', 'Butterscotch Lassi', 'Pista Lassi', 'Fresh Strawberry Lassi', 'Fruit Lassi', 'Dry Fruit Lassi', 'Fruit Salad with Jelly', 'Fruit Salad with Ice Cream', 'Fruit Salad with Cream', 'Fruit Falooda', 'Badami Falooda', 'Mango Mirch Sharbat', 'Blue Lime Soda', 'Arabian Pulpy', 'Grape Juice', 'Mango Juice', 'Watermelon Juice', 'Pineapple Juice', 'Fresh Strawberry Juice', 'Muskmelon Juice', 'Mango Mist', 'Strawberry Mist', 'Pineapple Mist', 'Blue Bay', 'Mint Lime Soda', 'Fresh Lime Soda', 'Mint O Cool', 'Fresh Lime', 'Grape with Anar', 'Pineapple with Anar', 'Carrot and Beetroot Shake', 'Carrot Shake', 'Beetroot Shake', 'Mint Soda Shake', 'Apple with Carrot Shake', 'Anar with Carrot Shake', 'Dates Milkshake', 'Mewa Raseela Milkshake', 'Butterscotch Milkshake', 'Blackcurrent Milkshake', 'Pista Milkshake', 'Apple Milkshake', 'Mango Milkshake', 'Chikku Milkshake', 'Vanilla Milkshake', 'Muskmelon Milkshake', 'Fresh Strawberry Milkshake', 'Strawberry Milkshake', 'Butter Fruit Milkshake', 'Banana Milkshake', 'Shahi Milkshake', 'Anar Milkshake', 'Papaya Milkshake', 'Rose Milkshake', 'Cold Badam Milkshake', 'Theen Shabab Mocktail', 'Sitara Mocktail', 'Galaxy Mocktail', 'Dublin Mocktail', 'Strawberry Mojito', 'Pineapple Mojito', 'Watermelon Mojito', 'Butter Magic Marina Shake', 'Twin Tower Cocktail Shake', 'Doublin Decker', 'Marina Shake', 'Splendor Cocktail Shake', 'Melon Magic Cocktail Shake', 'Galaxy Cocktail Shake', 'Shrikhand', 'Chocolate Fantasy', 'Choco Crush', 'Chocolate Milkshake', 'Cold Coffee', 'Chocolate Lassi', 'Dates Milkshakes with Ice Cream', 'Oreo Milkshake', 'Oreo Milkshake with ice Cream', 'Coolberry Shake', 'Snow White Shake', 'Pink Berry Shake']",Delivery,Frazer Town
"493, 13th Cross, 2nd Stage, Behind BDA Complex, Indiranagar, Bangalore",Chetty's Coffee,Yes,No,3.9,43,Indiranagar,Quick Bites,South Indian,"Kesari Bath, Vada, Filter Coffee",150,"['Double Idly Vada', 'Ghee Pudi Idly', 'Pudi Plain', 'Avalakki Dosa', 'Butter Masala Dosa', 'Vegetable Dosa', 'Pickle Dosa', 'Mango Pudi Dosa', 'Tomato Chutney Dosa', 'Pudi Masala Dosa', 'Open Butter Masala Dosa', 'Chilli Cheese Dosa', 'Cheese Masala Dosa', 'Chettys Combo 1', 'Chettys Combo 2', 'Chettys Combo 3', 'Chettys Combo 1', 'Chettys Combo 2', 'Chettys Combo 3', 'Idly', 'Vada', 'Idly Vada', 'Double Idly', 'Double Idly Vada', 'Ghee Pudi Idly', 'Ghee Upma', 'Shavige Bath', 'Plain Dosa', 'Pudi Plain', 'Avalakki Dosa', 'Butter Masala Dosa', 'Vegetable Dosa', 'Pickle Dosa', 'Mango Pudi Dosa', 'Tomato Chutney Dosa', 'Pudi Masala Dosa', 'Open Butter Masala Dosa', 'Chilli Cheese Dosa', 'Cheese Masala Dosa', 'Anjeer Halwa', 'Kesari Bath', 'Onion Chutney']",Delivery,Frazer Town
"89, Ibrahim Sahib Street, Commercial Street, Bangalore",Sri Saravana Bhavan,No,No,3.9,75,Commercial Street,Quick Bites,South Indian,"Filter Coffee, Idli",150,,Dine-out,Frazer Town
"41, Palani Mudaliar Street, Halasuru, Ulsoor, Bangalore",Amritsari Kulcha Bite,Yes,No,3.9,104,Ulsoor,Quick Bites,North Indian,"Lassi, Amritsari Kulcha, Chole",150,,Dine-out,Frazer Town
"1131/1, 17th Cross, 7th Sector HSR, Bangalore",Davanagere Benne Dose,Yes,No,3.9,106,HSR,Quick Bites,South Indian,Benne Dosa,150,,Delivery,HSR
"1131/1, 17th Cross, 7th Sector HSR, Bangalore",Davanagere Benne Dose,Yes,No,3.9,106,HSR,Quick Bites,South Indian,Benne Dosa,150,"['Set Dosa', 'Butter Dosa', 'Butter Masala Dosa', 'Butter Open Dosa', 'Butter Onion Dosa', 'Set Dosa', 'Set Dosa', 'Butter Dosa', 'Butter Masala Dosa', 'Butter Open Dosa', 'Butter Onion Dosa', 'Set Dosa', 'Khali/Set Dose', 'Set Dosa']",Dine-out,HSR
"38/2, 1st Main, Mount Joy Extension, Hanumanthanagar, Girinagar, Banashankari, Bangalore",Iyer's Tiffin Centre,No,No,3.8,62,Banashankari,Quick Bites,South Indian,"Kesari Bath, Masala Dosa",150,,Dine-out,Banashankari
"144/1, 22, 22nd Cross, 24th Main Road Marenahalli, JP Nagar, Bangalore",Kolkata Kathi Rolls,Yes,No,3.8,23,JP Nagar,Quick Bites,Rolls,,150,,Delivery,Basavanagudi
"67, Kanasu Complex, Kubirmutt Road, Hunumathathangar, Basavanagudi, Bangalore",Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,Chinese,,150,"['Veg Noodles', 'Schezwan Noodles', 'Mushroom Pepper Dry', 'Gobi Manchurian', 'Gobi Chilli', 'Baby Corn Manchurian', 'Mushroom Manchurian', 'Super Combo', 'Chinese Combo', 'Fried Rice Combo', 'Veg Noodles Combo', 'Super Combo', 'Chinese Combo', 'Sweet Corn Soup', 'Veg Manchow Soup', 'Yummy Tomato Soup', 'Aloo Dry', 'Mushroom Dry', 'Baby Corn Dry', 'Mushroom Pepper Dry', 'Baby Corn Pepper Dry', 'Baby Corn Chilli', 'Mushroom Chilli', 'Gobi Manchurian', 'Veg Spring Roll', 'Aloo Chilli', 'Gobi Chilli', 'Baby Corn Manchurian', 'Mushroom Manchurian', 'Veg Noodles', 'Mushroom Noodles', 'Schezwan Noodles', 'Lime Juice', 'Pudina Lime Juice', 'Mosambi Juice', 'Watermelon Juice', 'Pineapple Juice', 'Vanilla Milkshake', 'Strawberry Milkshake', 'Chocolate Milkshake', 'Fried Rice Combo', 'Veg Noodles Combo']",Delivery,Basavanagudi
"ACES Layout Road, Kundanahalli Gate, Brookefield, Bangalore",Juice Berg,Yes,No,3.8,42,Brookefield,Quick Bites,Beverages,,150,,Dine-out,Brookefield
"5th Main, Arekere Mico Layout, Bannerghatta Road, Bangalore",Manjushree Upahara,Yes,No,3.8,31,Bannerghatta Road,Quick Bites,South Indian,,150,"['Vada', 'Onion Dosa', 'Rava Masala', 'Rava Onion', 'Butter Dosa', 'Veg Pulao', '2 Idli', 'Vada', 'Rava Idli', 'Thatte Idli', 'Poori', 'Bisi Bele Bath', 'Kesari Bath', 'Khara Bath', 'Chow Chow Bath', 'Plain Dosa', 'Khali Dosa', 'Masala Dosa', 'Set Dosa', 'Onion Dosa', 'Rava Dosa', 'Rava Masala', 'Rava Onion', 'Ragi Dosa', 'Butter Dosa', 'Curd Vada']",Delivery,BTM
